model_key,count,mean,std,min,25%,50%,75%,max
114,15.0,11206.666666666666,2860.436197172599,6200.0,8800.0,10800.0,13850.0,15400.0
116,358.0,9653.910614525139,2754.6088321789707,100.0,8525.0,9500.0,10800.0,21700.0
118,143.0,9647.552447552447,4291.866401315042,800.0,5050.0,10100.0,13000.0,24400.0
120,36.0,12416.666666666666,4370.125856311235,5400.0,8975.0,13050.0,14950.0,23000.0
123,2.0,8800.0,3676.9552621700473,6200.0,7500.0,8800.0,10100.0,11400.0
125,5.0,12560.0,4101.585059461769,9500.0,9800.0,11900.0,12000.0,19600.0
135,4.0,22350.0,4398.863489584554,16800.0,20475.0,22600.0,24475.0,27400.0
214 Gran Tourer,1.0,17800.0,,17800.0,17800.0,17800.0,17800.0,17800.0
216,1.0,4800.0,,4800.0,4800.0,4800.0,4800.0,4800.0
216 Active Tourer,3.0,12700.0,4014.9719799769464,8900.0,10600.0,12300.0,14600.0,16900.0
216 Gran Tourer,4.0,17300.0,2743.4771124736335,15600.0,15975.0,16100.0,17425.0,21400.0
218,13.0,17715.384615384617,10431.829989176249,800.0,11100.0,17100.0,24300.0,31000.0
218 Active Tourer,14.0,15400.0,3044.2884731398744,11800.0,13125.0,14250.0,17250.0,22700.0
218 Gran Tourer,9.0,15888.888888888889,2531.5234763104827,13400.0,14000.0,14900.0,17000.0,20200.0
220,3.0,23800.0,2193.171219946131,21900.0,22600.0,23300.0,24750.0,26200.0
220 Active Tourer,1.0,11700.0,,11700.0,11700.0,11700.0,11700.0,11700.0
225,1.0,18300.0,,18300.0,18300.0,18300.0,18300.0,18300.0
225 Active Tourer,1.0,19200.0,,19200.0,19200.0,19200.0,19200.0,19200.0
316,235.0,10381.702127659575,3087.409861758337,400.0,9500.0,10800.0,12000.0,20300.0
318,569.0,10987.170474516695,3863.9987735432355,100.0,9500.0,11400.0,13100.0,30600.0
318 Gran Turismo,97.0,14854.639175257733,2670.518856364679,9200.0,12900.0,14400.0,16400.0,23800.0
320,752.0,12161.702127659575,4292.640253725548,100.0,10575.0,12900.0,14900.0,25800.0
320 Gran Turismo,73.0,17745.205479452055,3030.5408893779636,11900.0,16100.0,17300.0,19200.0,25900.0
325,19.0,14015.78947368421,4008.9155028226687,5400.0,11600.0,14400.0,16300.0,21100.0
325 Gran Turismo,4.0,20625.0,4522.075482194727,14400.0,18975.0,21600.0,23250.0,24900.0
328,5.0,16500.0,4159.326868617084,12700.0,14000.0,14400.0,18600.0,22800.0
330,33.0,16672.727272727272,6103.240569938682,800.0,13700.0,17400.0,20300.0,28900.0
330 Gran Turismo,3.0,25400.0,3502.8559776273987,22300.0,23500.0,24700.0,26950.0,29200.0
335,7.0,21828.571428571428,7935.933947497775,12900.0,16600.0,19000.0,25850.0,36000.0
335 Gran Turismo,3.0,24833.333333333332,288.6751345948129,24500.0,24750.0,25000.0,25000.0,25000.0
418 Gran Coupé,8.0,20737.5,2448.2865728621605,16200.0,20275.0,20900.0,21325.0,25100.0
420,44.0,23931.81818181818,4620.368087988115,13100.0,21775.0,23800.0,26850.0,36300.0
420 Gran Coupé,33.0,24427.272727272728,4727.596689074212,13200.0,22000.0,24900.0,28100.0,32100.0
425,2.0,31000.0,3394.1125496954282,28600.0,29800.0,31000.0,32200.0,33400.0
430,2.0,29400.0,989.9494936611666,28700.0,29050.0,29400.0,29750.0,30100.0
430 Gran Coupé,4.0,27325.0,4793.3113119568325,23100.0,23250.0,27050.0,31125.0,32100.0
435,4.0,31025.0,5550.600568106723,26100.0,27975.0,29550.0,32600.0,38900.0
435 Gran Coupé,6.0,34216.666666666664,8539.418403302807,24500.0,28125.0,33000.0,39000.0,47300.0
518,66.0,16489.39393939394,3006.8193667000855,8800.0,14900.0,16300.0,18350.0,27100.0
520,633.0,15709.16271721959,4746.808864151255,400.0,13400.0,15700.0,18800.0,28800.0
520 Gran Turismo,23.0,20178.260869565216,3573.38094574301,8400.0,18300.0,21500.0,22750.0,24400.0
523,4.0,6875.0,7100.880227126775,800.0,800.0,6200.0,12275.0,14300.0
525,184.0,15363.04347826087,6820.833040341888,100.0,13325.0,16100.0,19200.0,34900.0
528,6.0,20300.0,3921.2242986087904,15000.0,17975.0,20600.0,21800.0,26300.0
530,157.0,19826.114649681527,7959.014776813801,1300.0,16400.0,20500.0,23900.0,62500.0
530 Gran Turismo,18.0,20927.777777777777,6168.592703989494,12100.0,16800.0,20350.0,23900.0,35300.0
535,46.0,23747.82608695652,6064.4222636047,12600.0,19200.0,23250.0,28550.0,39200.0
535 Gran Turismo,2.0,24950.0,5161.879502661797,21300.0,23125.0,24950.0,26775.0,28600.0
630,1.0,10500.0,,10500.0,10500.0,10500.0,10500.0,10500.0
635,1.0,19300.0,,19300.0,19300.0,19300.0,19300.0,19300.0
640,8.0,34375.0,3543.5051250744045,29200.0,32075.0,34200.0,36600.0,39900.0
640 Gran Coupé,18.0,37066.666666666664,6672.419086852102,27900.0,32875.0,35150.0,40375.0,55200.0
650,2.0,8000.0,1697.0562748477141,6800.0,7400.0,8000.0,8600.0,9200.0
730,33.0,23766.666666666668,10323.779185291918,5700.0,18500.0,23900.0,27100.0,58300.0
735,1.0,4500.0,,4500.0,4500.0,4500.0,4500.0,4500.0
740,18.0,37772.22222222222,19336.45765830034,18200.0,22975.0,30950.0,56825.0,68700.0
750,2.0,37200.0,0.0,37200.0,37200.0,37200.0,37200.0,37200.0
ActiveHybrid 5,1.0,21100.0,,21100.0,21100.0,21100.0,21100.0,21100.0
M135,1.0,25700.0,,25700.0,25700.0,25700.0,25700.0,25700.0
M235,3.0,29300.0,1389.2443989449805,27700.0,28850.0,30000.0,30100.0,30200.0
M3,7.0,36428.57142857143,14774.83381584085,12100.0,28300.0,35700.0,49100.0,52400.0
M4,2.0,61650.0,11384.419177103415,53600.0,57625.0,61650.0,65675.0,69700.0
M5,1.0,41600.0,,41600.0,41600.0,41600.0,41600.0,41600.0
M550,12.0,34900.0,6615.40900955008,23800.0,29900.0,37000.0,39250.0,43000.0
X1,275.0,12700.0,3508.1552537867437,600.0,11100.0,12900.0,14650.0,25800.0
X3,438.0,18175.79908675799,9559.17658124833,100.0,15100.0,17600.0,21175.0,178500.0
X4,46.0,33895.65217391304,17116.82676357117,19000.0,29275.0,31800.0,34575.0,142800.0
X5,231.0,30570.12987012987,11829.334189816635,3000.0,20400.0,33800.0,39650.0,55700.0
X5 M,17.0,37788.23529411765,16068.014903564672,16100.0,21300.0,40900.0,44300.0,73100.0
X5 M50,3.0,49533.333333333336,635.0852961085884,48800.0,49350.0,49900.0,49900.0,49900.0
X6,44.0,34461.36363636364,13706.274507974415,17300.0,23175.0,33100.0,39925.0,66600.0
X6 M,8.0,51050.0,16116.096656094223,34800.0,39300.0,45800.0,58900.0,82400.0
Z4,6.0,9500.0,5675.56164621617,6200.0,6350.0,7100.0,9050.0,20800.0
i3,6.0,21116.666666666668,3993.703377401315,15500.0,20425.0,20850.0,21125.0,28000.0
i8,1.0,95200.0,,95200.0,95200.0,95200.0,95200.0,95200.0
